reuse_signal_method,reuse_signal_threshold,method,config_note,remask_enabled,accuracy,tps,avg_nfe,agreement_rate,cache_hit_rate,draft_accept_rate,mean_safe_reuse,mean_js_divergence,thrash_rate_given_cached,cache_invalidation_rate,access_next_h_f1,access_next_h_spec_f1,access_effective_budget,total_samples,output_dir,accuracy_delta_vs_argmax,is_best_threshold
no_reuse,-1.000000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=js_divergence,pc=off,sched=llada21_block,remask=on",1,0.400000,53.705,126.2,0.855275,-1.000000,0.987500,0.000000,0.003913,0.000000,1.000000,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/no_reuse_thr_-1p0000,+0.000000,1
oracle_reuse,999.000000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=js_divergence,pc=off,sched=llada21_block,remask=on",1,0.500000,38.130,182.6,0.716649,1.000000,0.902734,1.000000,0.039249,0.000000,0.000000,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/oracle_reuse_thr_999p0000,+0.100000,1
argmax_match,0.000000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=argmax_match,pc=off,sched=llada21_block,remask=on",1,0.400000,44.341,160.4,0.740804,0.992550,0.937500,0.854039,0.000000,0.000000,0.003725,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/argmax_match_thr_0p0000,+0.000000,1
topk_overlap,0.000000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=topk_overlap,pc=off,sched=llada21_block,remask=on",1,0.600000,37.791,185.2,0.722936,1.000000,0.905078,0.996042,0.037396,0.000000,0.000000,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/topk_overlap_thr_0p0000,+0.200000,1
min_confidence,0.300000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=min_confidence,pc=off,sched=llada21_block,remask=on",1,0.600000,47.752,147.0,0.746009,0.987784,0.946875,0.589719,0.044428,0.000000,0.006108,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/min_confidence_thr_0p3000,+0.200000,0
min_confidence,0.500000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=min_confidence,pc=off,sched=llada21_block,remask=on",1,0.600000,52.551,133.6,0.806031,0.977211,0.953906,0.472026,0.032187,0.000000,0.011395,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/min_confidence_thr_0p5000,+0.200000,1
min_confidence,0.700000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=min_confidence,pc=off,sched=llada21_block,remask=on",1,0.500000,52.948,132.4,0.808935,0.973469,0.965234,0.381426,0.027138,0.000000,0.013265,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/min_confidence_thr_0p7000,+0.100000,0
min_confidence,0.900000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=min_confidence,pc=off,sched=llada21_block,remask=on",1,0.400000,55.785,125.2,0.855389,0.913883,0.980078,0.246458,0.011108,0.000000,0.043059,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/min_confidence_thr_0p9000,+0.000000,0
min_margin,0.000000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=min_margin,pc=off,sched=llada21_block,remask=on",1,0.400000,43.755,160.4,0.740804,0.992550,0.937500,0.854039,0.043322,0.000000,0.003725,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/min_margin_thr_0p0000,+0.000000,0
min_margin,0.100000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=min_margin,pc=off,sched=llada21_block,remask=on",1,0.500000,45.107,155.6,0.752688,0.989149,0.940234,0.799623,0.040386,0.000000,0.005426,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/min_margin_thr_0p1000,+0.100000,0
min_margin,0.200000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=min_margin,pc=off,sched=llada21_block,remask=on",1,0.500000,45.122,155.6,0.735442,0.990570,0.926953,0.764890,0.044333,0.000000,0.004715,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/min_margin_thr_0p2000,+0.100000,1
min_margin,0.400000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=min_margin,pc=off,sched=llada21_block,remask=on",1,0.400000,42.250,165.8,0.763073,0.987376,0.939844,0.640790,0.039367,0.000000,0.006312,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/min_margin_thr_0p4000,+0.000000,0
js_divergence,0.010000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=js_divergence,pc=off,sched=llada21_block,remask=on",1,0.300000,43.471,161.0,0.813287,0.980813,0.967969,0.701147,0.017319,0.000000,0.009593,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/js_divergence_thr_0p0100,-0.100000,0
js_divergence,0.030000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=js_divergence,pc=off,sched=llada21_block,remask=on",1,0.500000,43.790,160.2,0.781707,0.970953,0.949219,0.828697,0.024559,0.000000,0.014524,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/js_divergence_thr_0p0300,+0.100000,0
js_divergence,0.050000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=js_divergence,pc=off,sched=llada21_block,remask=on",1,0.500000,49.302,141.8,0.791302,0.986526,0.951562,0.885698,0.029472,0.000000,0.006737,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/js_divergence_thr_0p0500,+0.100000,1
js_divergence,0.100000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=js_divergence,pc=off,sched=llada21_block,remask=on",1,0.400000,46.647,149.8,0.763575,0.985939,0.941797,0.920790,0.037323,0.000000,0.007031,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/js_divergence_thr_0p1000,+0.000000,0
temporal_confidence,0.300000,Speculative-AOAE,"tau_r=0.1,tau_pi=1.0,reuse=temporal_confidence,pc=off,sched=llada21_block,remask=on",1,0.500000,53.246,131.2,0.821001,0.939726,0.979688,0.465724,0.026653,0.000000,0.030137,0.000000,0.000000,0.000000,10,/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc2_reuse_signal_sweep/temporal_confidence_thr_0p3000,+0.100000,0
